Transaction_ID,Product_Code,Category,Quantity,Unit_Price,Order_Date,Status,Discount (%),Notes
1939, A-100 ,Automobile,1,420.27,14-10-2024,Annulé,0.03,Commande standard - lot 8
1631,C-300,Sport,8,338.12,17-12-2023,Retourné,0.15,Commande standard - lot 17
1683,F-600,Informatique,7,300.52,2023-07-13,Retourné,0.28,Commande standard - lot 7
1515,F-600,Informatique,5,355.5,05/22/2024,Annulé,0.22,Commande standard - lot 4
1366,B-200,Electroménager,5,476.19,2023-07-02,en attente,0.23,Commande standard - lot 4
1656,A-100,Sport,3,167.1,2024-06-20,Retourné,0.18,Commande standard - lot 11
1657,C-300,Electroménager,7,215.83,05/13/2024,En préparation,0.07,Commande standard - lot 16
1530,F-600,Automobile,4,51.49,04/08/2024,Retourné,0.25,Commande standard - lot 11
1322,B-200,Maison,1,311.22,2023-07-06,Retourné,0.09,Commande standard - lot 9
1071,D-400,Maison,10,168.2,16-09-2023,Retourné,0.28,Commande standard - lot 13
1793,B-200,Automobile,1,40.94,27-03-2024,En préparation,10%,
1372, G-700 ,Jardin,3,396.06,2024-04-19,En attente,0.15,
1842,D-400,Informatique,10,423.53,12-06-2024,En préparation,0.0,Commande standard - lot 8
1457,E-500,Automobile,2,63.08,06-01-2023,En attente,0.17,Commande standard - lot 2
1248,E-500,Automobile,10,271.78,24-05-2024,En préparation,0.02,Commande standard - lot 5
1612,F-600,Electroménager,7,497.48,07-09-2023,Expédié,0.23,Commande standard - lot 2
1706,D-400,Maison,3,307.76,16-12-2023,Livré,0.13,Commande standard - lot 7
1983,D-400,Jouets,8,409.7,08/19/2024,Expédié,,Commande standard - lot 19
1299,C-300,Jouets,999,344.32,2023-09-15,expédié,0.29,Commande standard - lot 4
1102,C-300,Jouets,9,254.59,2023-12-05,Retourné,0.17,Commande standard - lot 6
1964,A-100,Sport,5,385.77,04-10-2024,Expédié,,Commande standard - lot 13
1606,G-700,Maison,1111,324.56,08/05/2023,en attente,0.2,Commande standard - lot 9
1214,G-700,Jardin,3,484.03,2024-01-03,En préparation,0.16,Commande standard - lot 13
1238,F-600,Maison,8,276.53,2024-07-06,Annulé,0.19,Commande standard - lot 12
1594,E-500,Automobile,8,239.36,2023-04-17,livré,0.04,Commande standard - lot 4
